epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,616.184,1.61942,0.78742,0.8727,0.78512,0.55,0.67392,0.28895,1.70019,0.82397,0.88449,0.000962378,0.000962378,0.000962378
70,625.027,1.62262,0.77573,0.87329,0.82049,0.60595,0.70412,0.28675,1.66911,0.82869,0.88276,0.000945256,0.000945256,0.000945256
71,633.861,1.5956,0.78335,0.87265,0.73412,0.68911,0.70644,0.32339,1.63483,0.84189,0.88116,0.000928088,0.000928088,0.000928088
72,642.953,1.59479,0.77188,0.87282,0.68742,0.61806,0.62336,0.31928,1.64048,0.81857,0.88021,0.000910883,0.000910883,0.000910883
73,651.765,1.5889,0.7665,0.86986,0.69582,0.58636,0.66762,0.30326,1.66791,0.84556,0.88055,0.000893648,0.000893648,0.000893648
74,660.619,1.59605,0.77683,0.87454,0.76854,0.59885,0.68456,0.28002,1.6499,0.80995,0.88311,0.000876389,0.000876389,0.000876389
75,669.492,1.585,0.77385,0.87482,0.68552,0.5792,0.67315,0.28141,1.66718,0.81787,0.88154,0.000859116,0.000859116,0.000859116
76,678.371,1.57184,0.759,0.8673,0.80395,0.5219,0.60031,0.28202,1.673,0.82605,0.88087,0.000841835,0.000841835,0.000841835
77,687.236,1.58545,0.76415,0.86741,0.67466,0.60304,0.64238,0.27712,1.66021,0.8251,0.8823,0.000824554,0.000824554,0.000824554
78,696.143,1.59912,0.75994,0.86503,0.82573,0.57362,0.66051,0.30179,1.68457,0.81704,0.88565,0.000807281,0.000807281,0.000807281
79,705.07,1.57044,0.74436,0.86447,0.69124,0.62225,0.64724,0.31454,1.6197,0.81229,0.87,0.000790022,0.000790022,0.000790022
80,713.91,1.59273,0.75388,0.86538,0.66338,0.57347,0.65061,0.2922,1.64714,0.81157,0.87848,0.000772787,0.000772787,0.000772787
81,722.83,1.55146,0.74371,0.8643,0.91483,0.6047,0.70633,0.30863,1.64273,0.79123,0.88223,0.000755582,0.000755582,0.000755582
82,731.632,1.55365,0.73033,0.86373,0.7585,0.51644,0.63974,0.28732,1.672,0.80982,0.88047,0.000738414,0.000738414,0.000738414
83,740.495,1.56165,0.74452,0.86921,0.74683,0.57259,0.67388,0.29876,1.63425,0.81269,0.87841,0.000721292,0.000721292,0.000721292
84,749.316,1.57591,0.74481,0.86831,0.70255,0.54119,0.6159,0.30422,1.63995,0.80269,0.87968,0.000704223,0.000704223,0.000704223
85,758.182,1.56049,0.74405,0.86407,0.70182,0.71765,0.71274,0.31009,1.65901,0.79724,0.88515,0.000687214,0.000687214,0.000687214
86,767.025,1.54728,0.73081,0.8656,0.90512,0.55461,0.67372,0.294,1.70078,0.82549,0.88783,0.000670274,0.000670274,0.000670274
87,775.898,1.5338,0.7183,0.86022,0.74275,0.535,0.62987,0.29345,1.63351,0.79935,0.87999,0.000653408,0.000653408,0.000653408
