epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,345.61,1.59201,0.79513,0.90411,0.84304,0.6096,0.68455,0.31264,1.59567,0.83501,0.91664,0.00140037,0.00140037,0.00140037
81,349.834,1.55513,0.77339,0.89893,0.89894,0.59528,0.70669,0.33124,1.61201,0.82511,0.91603,0.00139398,0.00139398,0.00139398
82,354.055,1.57504,0.77947,0.89977,0.76771,0.66548,0.70144,0.33458,1.61298,0.81928,0.92421,0.00138753,0.00138753,0.00138753
83,358.284,1.54485,0.76317,0.89339,0.76815,0.62802,0.68487,0.32478,1.61475,0.83951,0.92282,0.00138101,0.00138101,0.00138101
84,362.569,1.55982,0.76832,0.89762,0.65377,0.56263,0.5626,0.28568,1.56184,0.80796,0.91034,0.00137444,0.00137444,0.00137444
85,367.096,1.5405,0.76107,0.89924,0.95182,0.71322,0.74698,0.32701,1.60676,0.81178,0.92018,0.00136781,0.00136781,0.00136781
86,371.362,1.53647,0.75637,0.89421,0.85111,0.57987,0.67718,0.32042,1.59942,0.82284,0.91706,0.00136113,0.00136113,0.00136113
87,375.557,1.55982,0.77105,0.89122,0.81559,0.56001,0.6871,0.32648,1.60417,0.82162,0.91744,0.00135438,0.00135438,0.00135438
88,379.849,1.54464,0.75677,0.89959,0.91507,0.61591,0.69266,0.32317,1.58054,0.83226,0.91404,0.00134758,0.00134758,0.00134758
89,384.09,1.53639,0.74758,0.88767,0.81467,0.6184,0.68293,0.31281,1.61226,0.82055,0.91981,0.00134073,0.00134073,0.00134073
90,388.35,1.54174,0.75487,0.89493,0.66762,0.58926,0.65466,0.31427,1.60808,0.82403,0.92244,0.00133382,0.00133382,0.00133382
91,392.531,1.52967,0.75654,0.89478,0.76167,0.5879,0.67116,0.30283,1.61874,0.81653,0.92005,0.00132685,0.00132685,0.00132685
92,396.804,1.53998,0.7487,0.89282,0.80766,0.61026,0.68832,0.30677,1.57965,0.809,0.91498,0.00131984,0.00131984,0.00131984
93,401.375,1.55823,0.75783,0.89338,0.91659,0.60427,0.69629,0.31719,1.56499,0.79948,0.91412,0.00131277,0.00131277,0.00131277
94,405.653,1.54922,0.74929,0.89483,0.92762,0.63135,0.68677,0.32014,1.60789,0.82934,0.91649,0.00130565,0.00130565,0.00130565
95,409.918,1.52492,0.744,0.89427,0.92728,0.63381,0.72599,0.33549,1.57161,0.78236,0.91347,0.00129847,0.00129847,0.00129847
96,414.186,1.52618,0.74791,0.89172,0.83814,0.5977,0.70548,0.31915,1.57932,0.80826,0.91824,0.00129125,0.00129125,0.00129125
97,418.409,1.5323,0.75255,0.89107,0.89278,0.58929,0.71611,0.33467,1.55684,0.81719,0.91009,0.00128398,0.00128398,0.00128398
98,422.636,1.51529,0.74088,0.88743,0.96928,0.67963,0.75104,0.33568,1.57652,0.81245,0.91393,0.00127666,0.00127666,0.00127666
99,426.96,1.51954,0.73873,0.88881,0.87245,0.64023,0.70216,0.35129,1.58934,0.78981,0.91943,0.00126929,0.00126929,0.00126929
100,431.289,1.52793,0.7396,0.88971,0.7562,0.6184,0.68538,0.32076,1.61003,0.8196,0.92362,0.00126188,0.00126188,0.00126188
101,435.803,1.50615,0.74314,0.89116,0.88109,0.62776,0.67505,0.31124,1.59897,0.80567,0.91926,0.00125442,0.00125442,0.00125442
102,440.001,1.5279,0.74002,0.88926,0.92846,0.62953,0.69464,0.33541,1.56911,0.79006,0.91075,0.00124691,0.00124691,0.00124691
103,444.79,1.50562,0.72695,0.88563,0.85973,0.5994,0.70903,0.32434,1.56963,0.80983,0.91216,0.00123936,0.00123936,0.00123936
104,449.091,1.52852,0.7333,0.89072,0.85533,0.60224,0.71794,0.33874,1.58703,0.77202,0.92013,0.00123177,0.00123177,0.00123177
105,453.593,1.50826,0.72483,0.8902,0.89217,0.63595,0.70223,0.33466,1.56907,0.78032,0.9121,0.00122413,0.00122413,0.00122413
106,457.769,1.52019,0.73433,0.8912,0.82459,0.60512,0.69563,0.32776,1.58559,0.791,0.91922,0.00121645,0.00121645,0.00121645
107,462.123,1.50753,0.73343,0.89438,0.86378,0.63638,0.72362,0.35526,1.6129,0.79975,0.92224,0.00120873,0.00120873,0.00120873
108,466.854,1.50739,0.72586,0.88956,0.91358,0.63722,0.67726,0.3203,1.60394,0.80493,0.92005,0.00120097,0.00120097,0.00120097
109,471.421,1.5044,0.72555,0.88851,0.87218,0.64965,0.69654,0.3434,1.56611,0.7738,0.91247,0.00119317,0.00119317,0.00119317
110,475.775,1.50395,0.73518,0.88897,0.90277,0.59828,0.68392,0.32468,1.64277,0.82532,0.92355,0.00118534,0.00118534,0.00118534
111,480.004,1.50695,0.72034,0.88742,0.65694,0.62225,0.68962,0.32604,1.60712,0.78577,0.92061,0.00117746,0.00117746,0.00117746
112,484.274,1.50931,0.72152,0.88735,0.79469,0.64237,0.69874,0.32074,1.53685,0.77533,0.90825,0.00116955,0.00116955,0.00116955
113,488.757,1.49719,0.71149,0.88011,0.8904,0.61673,0.67647,0.32507,1.58648,0.79443,0.91584,0.0011616,0.0011616,0.0011616
114,493.386,1.47395,0.71032,0.88393,0.87073,0.63466,0.68261,0.31597,1.54754,0.77329,0.9129,0.00115362,0.00115362,0.00115362
115,497.853,1.47748,0.70843,0.886,0.86673,0.62139,0.71228,0.3374,1.59521,0.77462,0.91585,0.0011456,0.0011456,0.0011456
116,502.616,1.49431,0.71057,0.88618,0.76561,0.60427,0.67118,0.32174,1.5705,0.77082,0.91402,0.00113755,0.00113755,0.00113755
117,506.873,1.50794,0.7176,0.88386,0.8804,0.62036,0.6756,0.31781,1.59702,0.79276,0.9257,0.00112946,0.00112946,0.00112946
118,511.109,1.4917,0.7157,0.88869,0.9039,0.66359,0.75293,0.33781,1.56455,0.76796,0.91445,0.00112135,0.00112135,0.00112135
119,515.322,1.47425,0.69917,0.88473,0.7816,0.62433,0.69671,0.31427,1.56489,0.77441,0.91386,0.0011132,0.0011132,0.0011132
120,519.56,1.48231,0.71533,0.88958,0.76656,0.72624,0.70747,0.3333,1.55344,0.76395,0.91104,0.00110503,0.00110503,0.00110503
121,524.002,1.47721,0.71565,0.88539,0.88907,0.62139,0.69953,0.3295,1.59265,0.78858,0.91917,0.00109683,0.00109683,0.00109683
122,528.351,1.46919,0.69746,0.88041,0.87378,0.62084,0.70143,0.33681,1.58198,0.7825,0.91531,0.00108859,0.00108859,0.00108859
123,532.846,1.47174,0.69612,0.88164,0.77757,0.69439,0.73364,0.33119,1.58986,0.78921,0.91605,0.00108033,0.00108033,0.00108033
124,537.15,1.4389,0.68535,0.87827,0.66815,0.72707,0.69558,0.33874,1.55089,0.75761,0.9162,0.00107205,0.00107205,0.00107205
125,541.39,1.47926,0.70151,0.87909,0.77378,0.71321,0.73171,0.35802,1.55812,0.76207,0.91389,0.00106374,0.00106374,0.00106374
126,545.716,1.46469,0.69231,0.88034,0.90699,0.62984,0.7169,0.34838,1.56265,0.76161,0.91166,0.0010554,0.0010554,0.0010554
127,549.971,1.48684,0.69908,0.8855,0.80988,0.7108,0.72316,0.35476,1.55851,0.76332,0.91506,0.00104705,0.00104705,0.00104705
128,554.224,1.46574,0.70472,0.88137,0.86141,0.63167,0.69192,0.33573,1.5623,0.76102,0.91007,0.00103866,0.00103866,0.00103866
129,558.502,1.46765,0.69951,0.88284,0.81236,0.61713,0.6926,0.33695,1.57834,0.77396,0.91586,0.00103026,0.00103026,0.00103026
130,563.031,1.46922,0.70146,0.88354,0.817,0.6345,0.71001,0.34204,1.58725,0.77162,0.92137,0.00102184,0.00102184,0.00102184
131,567.288,1.45611,0.68406,0.8804,0.7205,0.7426,0.72454,0.35505,1.57359,0.77352,0.91825,0.0010134,0.0010134,0.0010134
132,571.925,1.46473,0.6899,0.87794,0.86479,0.61201,0.70818,0.31552,1.59492,0.77448,0.9176,0.00100493,0.00100493,0.00100493
133,576.118,1.45337,0.69523,0.88264,0.90914,0.62065,0.70866,0.34569,1.59896,0.78678,0.91613,0.000996456,0.000996456,0.000996456
134,580.399,1.44778,0.68951,0.88132,0.89094,0.61695,0.70981,0.37142,1.58183,0.75964,0.91423,0.000987959,0.000987959,0.000987959
135,584.862,1.45696,0.68007,0.87823,0.66261,0.72664,0.69171,0.34527,1.56382,0.77845,0.91208,0.000979447,0.000979447,0.000979447
136,589.056,1.44111,0.67684,0.87969,0.70658,0.73168,0.71839,0.35417,1.56011,0.76906,0.91207,0.000970919,0.000970919,0.000970919
137,593.273,1.45084,0.68607,0.88507,0.80234,0.64138,0.69751,0.34942,1.56674,0.75786,0.91882,0.000962378,0.000962378,0.000962378
138,597.542,1.43366,0.67529,0.88069,0.9055,0.61375,0.70993,0.35827,1.56884,0.76187,0.91689,0.000953823,0.000953823,0.000953823
139,602.242,1.4438,0.67664,0.87915,0.67786,0.74908,0.71895,0.36295,1.57201,0.76139,0.91615,0.000945256,0.000945256,0.000945256
140,606.487,1.44892,0.67724,0.88053,0.83109,0.60536,0.68364,0.34606,1.5663,0.77033,0.91521,0.000936677,0.000936677,0.000936677
141,610.741,1.434,0.66863,0.87544,0.89106,0.61032,0.68286,0.33673,1.56554,0.75167,0.91456,0.000928088,0.000928088,0.000928088
142,614.98,1.43723,0.67971,0.8778,0.85328,0.69416,0.73339,0.35963,1.56766,0.75789,0.9193,0.00091949,0.00091949,0.00091949
143,619.199,1.44483,0.67788,0.8772,0.89428,0.62139,0.68848,0.32354,1.5712,0.76228,0.9163,0.000910883,0.000910883,0.000910883
144,623.687,1.43485,0.67211,0.87799,0.78044,0.62488,0.68822,0.32891,1.561,0.76363,0.915,0.000902269,0.000902269,0.000902269
